10.107: [GC 123906K->123906K(124237K), 0.000385 secs]
10.129: [GC 124237K->124237K(124569K), 0.000391 secs]
10.148: [GC 124569K->124569K(124900K), 0.000381 secs]
10.168: [GC 124900K->124900K(125231K), 0.000399 secs]
10.189: [GC 125231K->125231K(125562K), 0.000603 secs]
10.211: [GC 125562K->125562K(125894K), 0.000384 secs]
10.233: [GC 125894K->125894K(126225K), 0.000399 secs]
10.255: [GC 126225K->126225K(126556K), 0.000400 secs]
10.277: [GC 126556K->126556K(126888K), 0.000380 secs]
10.300: [GC 126888K->126888K(127219K), 0.000664 secs]
10.338: [GC 127219K->127219K(127550K), 0.000676 secs]
10.373: [GC 127550K->127550K(127882K), 0.000455 secs]
10.394: [GC 127882K->127882K(128213K), 0.000395 secs]
10.413: [GC 128213K->128213K(128544K), 0.000391 secs]
10.433: [GC 128544K->128544K(128876K), 0.000384 secs]
10.455: [GC 128876K->128876K(129207K), 0.000403 secs]
10.477: [GC 129207K->129207K(129538K), 0.000383 secs]
10.499: [GC 129538K->129538K(129869K), 0.000387 secs]
10.520: [GC 129869K->129869K(130201K), 0.000389 secs]
10.543: [GC 130201K->130201K(130532K), 0.000390 secs]
10.564: [GC 130532K->130532K(130863K), 0.000391 secs]
10.583: [GC 130863K->130863K(131195K), 0.000386 secs]
10.603: [GC 131195K->131195K(131526K), 0.000381 secs]
10.622: [GC 131526K->131526K(131857K), 0.000402 secs]
10.647: [GC 131857K->131857K(132189K), 0.000667 secs]
10.686: [GC 132189K->132189K(132520K), 0.000683 secs]
10.725: [GC 132520K->132520K(132851K), 0.000394 secs]
10.747: [GC 132851K->132851K(133182K), 0.000384 secs]
10.769: [GC 133182K->133182K(133514K), 0.000401 secs]
10.791: [GC 133514K->133514K(133845K), 0.000390 secs]
10.813: [GC 133845K->133845K(134176K), 0.000396 secs]
10.835: [GC 134176K->134176K(134508K), 0.000389 secs]
10.855: [GC 134508K->134508K(134839K), 0.000395 secs]
10.874: [GC 134839K->134839K(135170K), 0.000392 secs]
10.893: [GC 135170K->135170K(135502K), 0.000391 secs]
10.914: [GC 135502K->135502K(135833K), 0.000387 secs]
10.936: [GC 135833K->135833K(136164K), 0.000399 secs]
10.959: [GC 136164K->136164K(136495K), 0.000385 secs]
10.980: [GC 136495K->136495K(136827K), 0.000383 secs]
11.002: [GC 136827K->136827K(137158K), 0.000394 secs]
11.024: [GC 137158K->137158K(137489K), 0.000398 secs]
11.055: [GC 137489K->137489K(137821K), 0.000683 secs]
11.093: [GC 137821K->137821K(138152K), 0.000674 secs]
11.124: [GC 138152K->138152K(138483K), 0.000405 secs]
11.149: [GC 138483K->138483K(138815K), 0.000379 secs]
11.173: [GC 138815K->138815K(139146K), 0.000375 secs]
11.195: [GC 139146K->139146K(139477K), 0.000416 secs]
11.217: [GC 139477K->139477K(139808K), 0.000395 secs]
11.239: [GC 139808K->139808K(140140K), 0.000417 secs]
11.261: [GC 140140K->140140K(140471K), 0.000441 secs]
11.286: [GC 140471K->140471K(140802K), 0.000673 secs]
11.330: [GC 140802K->140802K(141134K), 0.000659 secs]
11.368: [GC 141134K->141134K(141465K), 0.000454 secs]
11.391: [GC 141465K->141465K(141796K), 0.000457 secs]
11.413: [GC 141796K->141796K(142128K), 0.000394 secs]
11.436: [GC 142128K->142128K(142459K), 0.000386 secs]
11.458: [GC 142459K->142459K(142790K), 0.000403 secs]
11.479: [GC 142790K->142790K(143121K), 0.000376 secs]
11.498: [GC 143121K->143121K(143453K), 0.000391 secs]
11.518: [GC 143453K->143453K(143784K), 0.000386 secs]
11.538: [GC 143784K->143784K(144115K), 0.000398 secs]
11.561: [GC 144115K->144115K(144447K), 0.000390 secs]
11.583: [GC 144447K->144447K(144778K), 0.000390 secs]
11.605: [GC 144778K->144778K(145109K), 0.000383 secs]
11.627: [GC 145109K->145109K(145441K), 0.000395 secs]
11.649: [GC 145441K->145441K(145772K), 0.000406 secs]
11.671: [GC 145772K->145772K(146103K), 0.000383 secs]
11.693: [GC 146103K->146103K(146434K), 0.000393 secs]
11.719: [GC 146434K->146434K(146766K), 0.000663 secs]
11.757: [GC 146766K->146766K(147097K), 0.000664 secs]
11.793: [GC 147097K->147097K(147428K), 0.000396 secs]
11.821: [GC 147428K->147428K(147760K), 0.000602 secs]
11.844: [GC 147760K->147760K(148091K), 0.000391 secs]
11.866: [GC 148091K->148091K(148422K), 0.000399 secs]
11.888: [GC 148422K->148422K(148754K), 0.000408 secs]
11.919: [GC 148754K->148754K(149085K), 0.000674 secs]
11.962: [GC 149085K->149085K(149416K), 0.000671 secs]
11.989: [GC 149416K->149416K(149747K), 0.000389 secs]
12.008: [GC 149747K->149747K(150079K), 0.000384 secs]
12.030: [GC 150079K->150079K(150410K), 0.000386 secs]
12.052: [GC 150410K->150410K(150741K), 0.000391 secs]
12.075: [GC 150741K->150741K(151073K), 0.000415 secs]
12.097: [GC 151073K->151073K(151404K), 0.000398 secs]
12.139: [GC 151404K->151404K(151735K), 0.000679 secs]
12.176: [GC 151735K->151735K(152067K), 0.000453 secs]
12.202: [GC 152067K->152067K(152398K), 0.000386 secs]
12.224: [GC 152398K->152398K(152729K), 0.000384 secs]
12.243: [GC 152729K->152729K(153060K), 0.000392 secs]
12.265: [GC 153060K->153060K(153392K), 0.000403 secs]
12.287: [GC 153392K->153392K(153723K), 0.000403 secs]
12.321: [GC 153723K->153723K(154054K), 0.000661 secs]
12.365: [GC 154054K->154054K(154386K), 0.000463 secs]
12.390: [GC 154386K->154386K(154717K), 0.000380 secs]
